Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Investor
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series A,0.0,"New Delhi, Delhi, India",Bombay Shaving Company is a Men's grooming startup,
MedCords,Wellness,Seed,385440.0,"Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,
University Living,Education,Seed,0.0,"New Delhi, Delhi, India",University Living is an online global student housing marketplace.,
&ME,"Food and Beverage, Food Processing, Nutrition",Seed,0.0,"Bangalore, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,
Enakshi,Fashion,Seed,116800.0,"Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.,
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,876.0,"Bangalore, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,
Inthree Access,"Consulting, Retail, Social",Series A,4000000.0,"Chennai, Tamil Nadu, India",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,9000000.0,"Bangalore, Karnataka, India",BUGWORKS is a drug discovery company.,
Guardian.in,Health Care,Seed,0.0,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,100000.0,"New Delhi, Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",
Wimoxez,Internet,Seed,20000.0,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",
India Accelerator,"Communities, Coworking, Incubators",Angel,0.0,"Gurgaon, Haryana, India",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,
HappyEMI,"Consumer, Financial Services, FinTech",Seed,1000000.0,"Bangalore, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,0.0,"Azadpur, Delhi, India",Premium Personal Assistance service,
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000.0,"Bangalore, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",
Propelld,"Education, Financial Services, FinTech",Seed,250000.0,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.,
PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,0.0,"Mumbai, Maharashtra, India",Digital Marketing powered by Data & Technology; fueled by Design thinking,
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,120000.0,"New Delhi, Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.,
Carmesi,Health Care,Seed,496400.0,"Gurgaon, Haryana, India",Carmesi is a brand of high-end menstrual-hygiene products in India.,
OckyPocky,"E-Learning, Internet, Video Games",Angel,0.0,"Haryana, Haryana, India",OckyPocky is a interactive and personalised language learning app for preschool kids.,
Racetrack,"Artificial Intelligence, Cloud Computing, Video",Seed,4993200.0,"Bangalore, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",
WHR,"Health Care, Information Technology",Seed,143145.0,"Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",
Asteria Aerospace,Aerospace,Seed,0.0,"Bangalore, Karnataka, India",Asteria Aerospace is a robotics and artificial intelligence company.,
FabAlley,"E-Commerce, Fashion, Lifestyle",Series B,8760000.0,"Noida, Uttar Pradesh, India","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,0.0,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,
SBI Life,Insurance,Private Equity,742000000.0,"Mumbai, Maharashtra, India",SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,
Studds Accessories,E-Commerce,Private Equity,14600000.0,"Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,29200000.0,"Bengaluru, Karnataka, India","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",
NoPaperForms Solutions Pvt. Ltd.,"EdTech, Education, Information Services, SaaS",Series B,3980000.0,"New Delhi, Delhi, India","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",
Rays Power Infra,"Energy, Solar",Venture - Series Unknown,29200000.0,"Jaipur, Rajasthan, India",Rays Power Infra is a leading integrated Solar Power Company.,
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,10000.0,"Gurgaon, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection",
Khidki,"Artificial Intelligence, Social",Seed,0.0,"Bangalore, Karnataka, India",Vernacular Social Network Focused on Town Level Content and Interactions,
LetsTransport,"Logistics, Transportation, Travel",Series B,14600000.0,"Bangalore, Karnataka, India",Lets transport is a logistics solution provider.,
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",Angel,1460.0,"Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,
Portea Medical,"Health Care, Hospital, Medical",Debt Financing,3650000.0,"Bangalore, Karnataka, India",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,
Aavas Financiers,"Finance, Financial Services",Post-IPO Debt,29200000.0,"Jaipur, Rajasthan, India","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",
Swiggy,"Food Delivery, Food Processing, Internet",Series H,1000000000.0,"Bangalore, Karnataka, India",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,
Milkbasket,"E-Commerce, Food and Beverage, Internet",Series A,7000000.0,"Haryana, Haryana, India","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",
Nutrisattva (Proliva),"Fitness, Food and Beverage, Health Care, Nutrition",Angel,0.0,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan,
Toppr,"EdTech, Education, Knowledge Management",Series C,35000000.0,"Mumbai, Maharashtra, India",Toppr.com is an online preparation platform for entrance exams in India.,
Jagaran Microfin,—,Debt Financing,8030000.0,"Kolkata, West Bengal, India",Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,
Vivriti Capital,Financial Services,Venture - Series Unknown,28500000.0,"Chennai, Tamil Nadu, India",Vivriti Capital is an online platform for institutional debt in India.,
Be U Salons,"Apps, Beauty, Consumer, Retail",Seed,438000.0,"New Delhi, Delhi, India",Be U is India's first subscription based Salon Chain.,
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,2000000.0,"Mumbai, Maharashtra, India","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,3504000.0,"Gurgaon, Haryana, India",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,
Stones2Milestones,"E-Learning, Education, Higher Education",Seed,0.0,"Gurgaon, Haryana, India",Stones2milestones is a Gurgaon Based Learning Company.,
Generico,"Health Care, Medical, Pharmaceutical",Series A,0.0,"Mumbai, Maharashtra, India",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,
Adiuvo Diagnostics,Health Diagnostics,Seed,0.0,"Chennai, Tamil Nadu, India",Adiuvo Diagnostics is a medical diagnostic device company based in India.,
DataTrained,"EdTech, Education",Seed,1752000.0,"Bangalore, Karnataka, India","DataTrained is a educational platform, which operates an ed-tech startup on data science",
OneAssist,"Financial Services, SaaS, Security",Debt Financing,2400000.0,"Mumbai, Maharashtra, India",OneAssist is a protection & assistance services platform.,
Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt,30000000.0,"New Delhi, Delhi, India",Satin is a non-banking finance company providing individual loans to urban shopkeepers.,
APAC Financial Services,"Finance, Financial Services",Private Equity,36500000.0,"Mumbai, Maharashtra, India",APAC Financial Services is a financial services platform.,
Moglix,"B2B, E-Commerce, Mobile",Series C,23000000.0,"Noida, Uttar Pradesh, India","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Venture - Series Unknown,0.0,"Mumbai, Maharashtra, India",SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,
MadGuy Labs,E-Learning,Venture - Series Unknown,150000.0,"Hyderabad, Andhra Pradesh, India",MadGuy Labs is a Online Test-prep Platform.,
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",Seed,0.0,"Pune, Maharashtra, India",Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,
FLEECA,—,Seed,0.0,"Jaipur, Rajasthan, India",FLEECA is a Tyre Care Provider company.,
Shop101,"Apps, E-Commerce, Internet",Series B,11000000.0,"Mumbai, Maharashtra, India",#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,
FeedMyPockets,"Advertising, Human Resources, Marketing",Seed,642400.0,"Bangalore City, Karnataka, India",On Demand Staffing Platform,
Housejoy,"Beauty, Fitness, Home Services, Internet",Series B,3240000.0,"Bengaluru, Karnataka, India",Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,
Ambee,"Health Care, Medical Device, Public Safety",Angel,0.0,"Bangalore, Karnataka, India",Ambee is an Environment analytics startup.,
FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed,876000.0,"Belgaum, Karnataka, India","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",
Ninjacart,"AgTech, B2B, Supply Chain Management",Series B,36500000.0,"Bengaluru, Karnataka, India",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed,0.0,"New Delhi, Delhi, India",Olly is a digital credit card for India's working masses and young people.,
Zestl,Software,Seed,0.0,"Pune, Maharashtra, India","No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",
BYJU’S,"EdTech, Education, Higher Education, Secondary Education",Private Equity,540000000.0,"Bangalore, Karnataka, India",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,
Wakefit,"Manufacturing, Retail",Venture - Series Unknown,9490000.0,"Bangalore, Karnataka, India",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,
Hero Electric,Manufacturing,Venture - Series Unknown,23360000.0,"New Delhi, Delhi, India","Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",
Pentation Analytics,"Information Services, Information Technology, InsurTech",Seed,0.0,"Mumbai, Maharashtra, India",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,
PerkFinance,"Consumer Lending, FinTech",Seed,900000.0,"Bangalore, Karnataka, India",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,
Roposo,"Internet, Social Network, TV",Series C,10000000.0,"Gurgaon, Haryana, India",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,
Plum Goodness,"Beauty, Health Care",Series A,0.0,"Thane, Maharashtra, India",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,
Drstore,Hospital,Seed,0.0,"Mumbai, Maharashtra, India",Drstore is a exclusive e- commerce platform.,
Wow Venue,Events,Venture - Series Unknown,1500000.0,"Mumbai, Maharashtra, India",Wow Venue is an online platform.,
Chizel,"3D Printing, Manufacturing, Product Design",Seed,0.0,"Pune, Maharashtra, India",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,
OTO Capital,Automotive,Seed,730000.0,"Mumbai, Maharashtra, India",OTO Capital is a platform that allows you to own a car faster than ever.,
Boodmo,"Automotive, Retail",Seed,1022000.0,"Gurgaon, Haryana, India",boodmo.com - large online marketplace for auto parts in India.,
Khabri,"Apps, Audio",Seed,0.0,"Haryana, Haryana, India",Khabri is a digital audio platform for content in vernacular.,
MyNewCar.in,"Automotive, E-Commerce",Venture - Series Unknown,1000000.0,"Gurgaon, Haryana, India",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,5000000.0,"Bangalore, Karnataka, India",A daily fantasy sports platform.,
PlanetSpark,"E-Learning, EdTech, Education",Seed,233600.0,"Gurgaon, Haryana, India",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,
WheelsEMI,—,Series B,14000000.0,"Pune, Maharashtra, India","WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Grant,1496500.0,"Margão, Goa, India","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",
OYO,"Hospitality, Hotel, Leisure, Travel",Series E,100000000.0,"Gurgaon, Haryana, India",OYO is an Indian hospitality startup that operates a network of budget hotels.,
Quikr,"Classifieds, Internet, Marketplace, Rental Property",Debt Financing,8030000.0,"Bangalore, Karnataka, India","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",
Tabono,Sports,Seed,0.0,"Gurgaon, Haryana, India",Tabono is a one stop environment for all your fitness solution.,
LearnApp,"Banking, E-Learning, Trading Platform",Seed,292000.0,"Noida, Uttar Pradesh, India","Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",
Shopkirana,"E-Commerce, Mobile, Retail",Venture - Series Unknown,2000000.0,"Indore, Madhya Pradesh, India",Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,
Fric Bergen,—,Venture - Series Unknown,0.0,"Alwar, Rajasthan, India",Fric Bergen is a leader in the specialty food industry.,
Articbot,"Artificial Intelligence, Information Technology",Grant,17520.0,"Kannur, Kerala, India",Articbot is a conversational AI platform for automated customer support and lead generation,
BuildSupply,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Series A,3650000.0,"Gurgaon, Haryana, India",India’s most advanced ERP system for the real estate,
Fusion Microfinance,"Banking, Finance, Financial Services",Series E,75920000.0,"New Delhi, Delhi, India",Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,
Any time Doctor,Software,Angel,0.0,"Chennai, Tamil Nadu, India",Anytime Doctor is a Software company.,
Go Payments,"Information Services, Information Technology",Corporate Round,0.0,"Mumbai, Maharashtra, India",Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,
Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed,800000.0,"Mumbai, Maharashtra, India",We build In-Destination Experiences!,
ION Energy,"Energy, Energy Storage, Infrastructure",Venture - Series Unknown,1041000.0,"Mumbai, Maharashtra, India",A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,
UnoTag,Artificial Intelligence,Pre-Seed,100000.0,"Bangalore, Karnataka, India",SaaS to verify counterfeit,
CivilCops,"Government, Information Technology, Software",Pre-Seed,100000.0,"Gurgaon, Haryana, India",Gov-Tech,
Rockmetric,Information Technology,Grant,0.0,"Mumbai, Maharashtra, India","Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",
Classworks India,"Education, Information Technology, Internet, Mobile, Software",Undisclosed,1460.0,"Chennai, Tamil Nadu, India","Saas, Web App, Mobile App, School Education",
Snapmint,"Consumer Lending, Financial Services, Lending, Personal Finance",Seed,0.0,"Mumbai, Maharashtra, India","Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",
artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Pre-Seed,15000.0,"Bangalore, Karnataka, India",Ai platform for Art and Creative Community,
Survaider,"Business Intelligence, Customer Service, Market Research, SaaS",Seed,500000.0,"Bengaluru, Karnataka, India",Stethoscope for customer feedback !,
Credy,"Credit, Financial Services, FinTech, Lending",Seed,1400000.0,"Bengaluru, Karnataka, India",Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,
iChamp,E-Learning,Seed,5000000.0,"Gurgaon, Haryana, India",iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,
Qandle,Software,Seed,1200000.0,"Gurgaon, Haryana, India",A cloud-based HR management and employee engagement platform.,
Avishkaar Box,"Children, Education, Parenting",Seed,730000.0,"Delhi, Delhi, India","Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",
Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage",Angel,0.0,"Mumbai, Maharashtra, India",A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,
HyperXchange,"E-Commerce, Mobile, Sharing Economy",Series A,1000000.0,"Pune, Maharashtra, India",hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,
Deftouch,—,Seed,0.0,"Bangalore, Karnataka, India",Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,
Doodhwala,"Food Delivery, Organic, Organic Food",Seed,2200000.0,"Bengaluru, Karnataka, India",Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,
DronaHQ,Mobile,Angel,500000.0,"Mumbai, Maharashtra, India",DronaHQ is an enterprise mobile engagement platform.,
FastFox,Rental,Series A,1460000.0,"Gurgaon, Haryana, India",FastFox: Market Network for Home Rentals (India),
